comment_num,name,service,level,taste,avg_cost,food_type,location,environment,url
0,Taste of the Magical Beats,0,该商户暂无星级,0,0,东南亚菜,市中心区,0,http://www.dianping.com/shop/105458922
0,MING RUN,0,该商户暂无星级,0,0,东南亚菜,市中心区,0,http://www.dianping.com/shop/125752635
7807,美奈小馆·越南料理(coco park店),7.9,四星商户,8.2,￥97,东南亚菜,市中心区,8.4,http://www.dianping.com/shop/21043305
304,美奈小馆·越南料理(中心城店),8.1,四星商户,8.2,￥88,东南亚菜,市中心区,8.8,http://www.dianping.com/shop/96116202
1042,泰炙泰式火锅THAI LIGHT(皇庭广场店),9.0,准五星商户,8.5,￥138,火锅,市中心区,9.0,http://www.dianping.com/shop/98756498
392,象屋泰国餐厅(平安金融中心店),8.1,准四星商户,7.0,￥246,东南亚菜,市中心区,8.9,http://www.dianping.com/shop/97995662
1026,小印度尼泊尔餐厅(购物公园店),7.5,准四星商户,7.4,￥90,东南亚菜,市中心区,7.2,http://www.dianping.com/shop/4549950
1052,SOI 22 二十二象,8.3,四星商户,7.8,￥116,东南亚菜,市中心区,8.8,http://www.dianping.com/shop/96044963
2104,暹罗泰(皇庭店),8.4,准五星商户,8.4,￥197,东南亚菜,市中心区,9.0,http://www.dianping.com/shop/18008700
2291,泰炯音乐酒馆,8.2,四星商户,8.0,￥131,东南亚菜,市中心区,9.0,http://www.dianping.com/shop/38306504
810,小安南越南料理Petit Annam(皇庭广场店),8.0,准四星商户,7.3,￥77,东南亚菜,市中心区,8.2,http://www.dianping.com/shop/69841389
425,星洲小聚新加坡料理(卓悦INTOWN店),7.8,四星商户,7.8,￥107,东南亚菜,市中心区,8.6,http://www.dianping.com/shop/93512295
684,星马越东南亚美食餐厅,7.0,准四星商户,7.2,￥61,东南亚菜,市中心区,7.4,http://www.dianping.com/shop/46285736
6510,鑫泰泰国料理(COCO Park店),7.8,四星商户,8.0,￥123,东南亚菜,市中心区,8.3,http://www.dianping.com/shop/2044816
5712,vita味塔东南亚菜·酒吧(coco park店),7.4,准四星商户,7.5,￥122,东南亚菜,市中心区,8.6,http://www.dianping.com/shop/7436933
1706,越小品·越南汤粉(连城店),8.0,四星商户,7.8,￥49,东南亚菜,市中心区,7.8,http://www.dianping.com/shop/23960050
3,轻泰沙拉府,7.6,准四星商户,7.2,0,东南亚菜,市中心区,7.2,http://www.dianping.com/shop/93685948
0,四季椰林椰子鸡,0,该商户暂无星级,0,0,火锅,市中心区,0,http://www.dianping.com/shop/111599961
0,佛跳墙,0,该商户暂无星级,0,0,粤菜,市中心区,0,http://www.dianping.com/shop/123014010
0,兆桐,0,该商户暂无星级,0,0,粤菜,市中心区,0,http://www.dianping.com/shop/122057281
0,陈鹏鹏鹅肉饭店(oneavenue店),0,该商户暂无星级,0,0,粤菜,市中心区,0,http://www.dianping.com/shop/123807107
0,禧粤轩(怡景中心城店),0,该商户暂无星级,0,0,粤菜,市中心区,0,http://www.dianping.com/shop/107980830
0,粉萌波波趴,0,该商户暂无星级,0,0,粥粉面,市中心区,0,http://www.dianping.com/shop/101651450
0,兰州正宗牛肉拉面,0,该商户暂无星级,0,0,粥粉面,市中心区,0,http://www.dianping.com/shop/4591393
0,贵州酸粉汤(连城·新天地店),0,该商户暂无星级,0,0,粥粉面,市中心区,0,http://www.dianping.com/shop/97425264
0,上小面,0,该商户暂无星级,0,0,粥粉面,市中心区,0,http://www.dianping.com/shop/90606290
0,九密汤粉王,0,该商户暂无星级,0,0,粥粉面,市中心区,0,http://www.dianping.com/shop/105061327
0,爱上小面,0,该商户暂无星级,0,0,粥粉面,市中心区,0,http://www.dianping.com/shop/125277655
0,泡面店,0,该商户暂无星级,0,0,粥粉面,市中心区,0,http://www.dianping.com/shop/124754127
2051,大渔铁板烧(中心城店),7.4,准四星商户,7.7,￥211,日本菜,市中心区,7.7,http://www.dianping.com/shop/3095137
3005,食冶日本料理铁板烧(福田石厦店),8.5,准五星商户,8.6,￥342,日本菜,石厦,8.3,http://www.dianping.com/shop/22796195
